City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.02,27.91,69.4,37,0,5.57,ZA,1592676692
1,ushuaia,-54.8,-68.3,33.8,78,40,8.55,AR,1592676692
2,rikitea,-23.12,-134.97,76.05,83,43,12.55,PF,1592676692
3,nagato,34.38,131.2,69.8,88,40,3.36,JP,1592676692
4,mataura,-46.19,168.86,39.0,83,45,3.0,NZ,1592676692
5,nalhati,24.3,87.82,84.81,77,11,8.32,IN,1592676543
6,sisimiut,66.94,-53.67,43.27,68,33,13.91,GL,1592676693
7,port alfred,-33.59,26.89,64.0,63,3,4.0,ZA,1592676478
8,mar del plata,-38.0,-57.56,57.99,62,100,10.29,AR,1592676563
9,santa cruz,-17.8,-63.17,86.0,58,75,17.22,BO,1592676482
10,yerbogachen,61.28,108.01,56.28,85,22,2.26,RU,1592676693
11,ancud,-41.87,-73.82,48.0,93,90,2.24,CL,1592676694
12,srednekolymsk,67.45,153.68,74.89,41,32,7.61,RU,1592676694
13,airai,-8.93,125.41,55.09,100,18,3.76,TL,1592676694
14,santiago,-33.46,-70.65,51.8,87,90,6.93,CL,1592676486
15,busselton,-33.65,115.33,42.01,69,0,6.82,AU,1592676509
16,lebu,-37.62,-73.65,53.91,86,100,21.39,CL,1592676694
17,tuatapere,-46.13,167.68,39.0,83,65,3.0,NZ,1592676477
18,formosa,-26.18,-58.18,91.4,38,40,17.22,AR,1592676695
19,pisco,-13.7,-76.22,66.2,77,21,11.41,PE,1592676695
20,jamestown,42.1,-79.24,80.01,57,40,3.36,US,1592676582
21,salto del guaira,-24.06,-54.31,80.15,52,0,9.42,PY,1592676695
22,puerto ayora,-0.74,-90.35,77.0,69,40,16.11,EC,1592676695
23,new norfolk,-42.78,147.06,45.0,91,100,2.28,AU,1592676695
24,coquimbo,-29.95,-71.34,57.2,87,75,16.11,CL,1592676695
25,waseca,44.08,-93.51,68.0,77,75,8.05,US,1592676696
26,karagay,58.27,54.94,47.46,67,0,6.24,RU,1592676696
27,tiznit,29.58,-9.5,73.53,56,0,8.52,MA,1592676696
28,mahebourg,-20.41,57.7,73.4,60,20,13.87,MU,1592676696
29,broken hill,-31.95,141.43,48.2,70,2,13.87,AU,1592676696
30,noyabrsk,63.2,75.45,48.2,84,99,13.73,RU,1592676696
31,batagay-alyta,67.8,130.41,66.87,44,1,1.25,RU,1592676697
32,manavalakurichi,8.13,77.3,84.2,79,75,5.82,IN,1592676697
33,castro,-24.79,-50.01,72.16,58,0,6.89,BR,1592676668
34,severnyy,50.68,36.55,77.0,57,26,6.71,RU,1592676697
35,avera,33.19,-82.53,89.6,46,40,6.93,US,1592676461
36,kodiak,57.79,-152.41,51.8,81,90,10.29,US,1592676697
37,pevek,69.7,170.31,45.09,66,75,9.69,RU,1592676697
38,tasiilaq,65.61,-37.64,38.82,90,100,6.78,GL,1592676503
39,vaini,-21.2,-175.2,73.4,83,20,8.05,TO,1592676698
40,cidreira,-30.18,-50.21,72.66,82,73,4.07,BR,1592676698
41,tiksi,71.69,128.87,63.59,42,0,6.58,RU,1592676698
42,tuktoyaktuk,69.45,-133.04,39.2,100,90,9.17,CA,1592676698
43,mocuba,-16.84,36.99,63.48,94,73,3.83,MZ,1592676698
44,takab,36.4,47.11,60.98,32,0,9.42,IR,1592676698
45,bambous virieux,-20.34,57.76,73.4,60,20,13.87,MU,1592676698
46,albany,42.6,-73.97,91.0,48,1,4.65,US,1592676699
47,khromtau,50.25,58.43,63.46,32,0,5.17,KZ,1592676699
48,wakema,16.6,95.18,81.46,87,90,5.37,MM,1592676699
49,hermanus,-34.42,19.23,61.0,80,65,3.0,ZA,1592676699
50,meulaboh,4.14,96.13,76.95,88,100,6.46,ID,1592676699
51,cockburn town,21.46,-71.14,83.1,77,97,17.56,TC,1592676700
52,kapaa,22.08,-159.32,75.2,83,90,17.22,US,1592676700
53,changji,44.02,87.32,60.8,67,75,6.71,CN,1592676700
54,bredasdorp,-34.53,20.04,59.0,87,32,7.02,ZA,1592676700
55,chama,47.18,8.46,69.8,49,75,1.12,CH,1592676700
56,agadez,19.75,10.25,94.15,9,0,7.2,NE,1592676700
57,barrow,71.29,-156.79,33.8,80,90,10.29,US,1592676415
